personaje,texto,versos,n_versos
BASILIO,"Mirad que vais a morir,
si está de Dios que muráis. 
    ¡Qué bien, ay cielos, persuade
nuestro error, nuestra ignorancia,
a mayor conocimiento
este cadáver que habla
por la boca de una herida, 
siendo el humor que desata
sangrienta lengua que enseña
que son diligencias vanas
del hombre cuantas dispone
contra mayor fuerza y causa! 
Pues yo, por librar de muertes
y sediciones mi patria,
vine a entregarla a los mismos
de quien pretendí librarla.","['Mirad que vais a morir,', 'si está de Dios que muráis. ', '    ¡Qué bien, ay cielos, persuade', 'nuestro error, nuestra ignorancia,', 'a mayor conocimiento', 'este cadáver que habla', 'por la boca de una herida, ', 'siendo el humor que desata', 'sangrienta lengua que enseña', 'que son diligencias vanas', 'del hombre cuantas dispone', 'contra mayor fuerza y causa! ', 'Pues yo, por librar de muertes', 'y sediciones mi patria,', 'vine a entregarla a los mismos', 'de quien pretendí librarla.']",16
CLOTALDO,"Aunque el hado, señor, sabe 
todos los caminos, y halla
a quien busca entre lo espeso
de dos penas, no es cristiana
determinación decir
que no hay reparo a su saña. 
Sí hay, que el prudente varón
vitoria del hado alcanza;
y si no estás reservado
de la pena y la desgracia,
haz por donde te reserves. ","['Aunque el hado, señor, sabe ', 'todos los caminos, y halla', 'a quien busca entre lo espeso', 'de dos penas, no es cristiana', 'determinación decir', 'que no hay reparo a su saña. ', 'Sí hay, que el prudente varón', 'vitoria del hado alcanza;', 'y si no estás reservado', 'de la pena y la desgracia,', 'haz por donde te reserves. ']",11
ASTOLFO,"Clotaldo, señor, te habla
como prudente varón
que madura edad alcanza,
yo como joven valiente.
Entre las espesas ramas 
dese monte está un caballo,
veloz aborto del aura;
huye en él, que yo entre tanto
te guardaré las espaldas.","['Clotaldo, señor, te habla', 'como prudente varón', 'que madura edad alcanza,', 'yo como joven valiente.', 'Entre las espesas ramas ', 'dese monte está un caballo,', 'veloz aborto del aura;', 'huye en él, que yo entre tanto', 'te guardaré las espaldas.']",9
BASILIO,"Si está de Dios que yo muera, 
o si la muerte me aguarda,
aquí, hoy la quiero buscar,
esperando cara a cara.","['Si está de Dios que yo muera, ', 'o si la muerte me aguarda,', 'aquí, hoy la quiero buscar,', 'esperando cara a cara.']",4
SEGISMUNDO,"En lo intrincado del monte,
entre sus espesas ramas, 
el Rey se esconde. Seguilde,
no quede en sus cumbres planta
que no examine el cuidado,
tronco a tronco, y rama a rama.","['En lo intrincado del monte,', 'entre sus espesas ramas, ', 'el Rey se esconde. Seguilde,', 'no quede en sus cumbres planta', 'que no examine el cuidado,', 'tronco a tronco, y rama a rama.']",6
CLOTALDO,"¡Huye, señor!","['¡Huye, señor!']",1
BASILIO,"¿Para qué?
",['¿Para qué?'],1
ASTOLFO,¿Qué intentas?,['¿Qué intentas?'],1
BASILIO,"Astolfo, aparta.","['Astolfo, aparta.']",1
CLOTALDO,¿Qué intentas?,['¿Qué intentas?'],1
BASILIO,"Hacer, Clotaldo,
un remedio que me falta.
Si a mí buscándome vas,
ya estoy, príncipe, a tus plantas; 
sea dellas blanca alfombra
esta nieve de mis canas.
Pisa mi cerviz, y huella
mi corona; postra, arrastra
mi decoro y mi respeto; 
toma de mi honor venganza;

sírvete de mí cautivo;
y tras prevenciones tantas,
cumpla el hado su homenaje,
cumpla el cielo su palabra. ","['Hacer, Clotaldo,', 'un remedio que me falta.', 'Si a mí buscándome vas,', 'ya estoy, príncipe, a tus plantas; ', 'sea dellas blanca alfombra', 'esta nieve de mis canas.', 'Pisa mi cerviz, y huella', 'mi corona; postra, arrastra', 'mi decoro y mi respeto; ', 'toma de mi honor venganza;', 'sírvete de mí cautivo;', 'y tras prevenciones tantas,', 'cumpla el hado su homenaje,', 'cumpla el cielo su palabra. ']",14
SEGISMUNDO,"Corte ilustre de Polonia,
que de admiraciones tantas
sois testigos, atended,
que vuestro príncipe os habla.
Lo que está determinado 
del cielo, y en azul tabla
Dios con el dedo escribió,
de quien son cifras y estampas
tantos papeles azules
que adornan letras doradas, 
nunca miente, nunca engaña,
porque quien miente y engaña
es quien, para usar mal dellas,
las penetra y las alcanza.
Mi padre, que está presente, 
por excusarse a la saña
de mi condición, me hizo
un bruto, una fiera humana;
de suerte que, cuando yo
por mi nobleza gallarda, 
por mi sangre generosa,
por mi condición bizarra,
hubiera nacido dócil
y humilde, sólo bastara
tal género de vivir, 
tal linaje de crianza,
a hacer fieras mis costumbres.
¡Qué buen modo de estorbarlas!
Si a cualquier hombre dijesen:
«Alguna fiera inhumana 
te dará muerte», ¿escogiera
buen remedio en despertalla
cuando estuviese durmiendo?
Si dijeran: «Esta espada

que traes ceñida ha de ser 
quien te dé la muerte», vana
diligencia de evitarlo
fuera entonces desnudarla
y ponérsela a los pechos.
Si dijesen: «Golfos de agua 
han de ser tu sepultura
en monumentos de plata»,
mal hiciera en darse al mar,
cuando soberbio levanta
rizados montes de nieve, 
de cristal crespas montañas.
Lo mismo le ha sucedido
que a quien, porque le amenaza
una fiera, la despierta;
que a quien, temiendo una espada 
la desnuda; y que a quien mueve
las ondas de una borrasca;
y cuando fuera (escuchadme)
dormida fiera mi saña,
templada espada mi furia, 
mi rigor quieta bonanza,
la fortuna no se vence
con injusticia y venganza,
porque antes se incita más.
Y así, quien vencer aguarda 
a su fortuna, ha de ser
con prudencia y con templanza.
No antes de venir el daño
se reserva ni se guarda
quien le previene; que aunque 
puede humilde (cosa es clara)
reservarse dél, no es
sino después que se halla
en la ocasión, porque aquesta
no hay camino de estorbarla. 
Sirva de ejemplo este raro
espectáculo, esta extraña

admiración, este horror,
este prodigio; pues nada
es más que llegar a ver, 
con prevenciones tan varias,
rendido a mis pies a un padre,
y atropellado a un monarca.
Sentencia del cielo fue;
por más que quiso estorbarla 
él no pudo, ¿y podré yo
que soy menor en las canas,
en el valor y en la ciencia
vencerla? Señor, levanta,
dame tu mano; que ya 
que el cielo te desengaña
de que has errado en el modo
de vencerle, humilde aguarda
mi cuello a que tú te vengues;
rendido estoy a tus plantas. ","['Corte ilustre de Polonia,', 'que de admiraciones tantas', 'sois testigos, atended,', 'que vuestro príncipe os habla.', 'Lo que está determinado ', 'del cielo, y en azul tabla', 'Dios con el dedo escribió,', 'de quien son cifras y estampas', 'tantos papeles azules', 'que adornan letras doradas, ', 'nunca miente, nunca engaña,', 'porque quien miente y engaña', 'es quien, para usar mal dellas,', 'las penetra y las alcanza.', 'Mi padre, que está presente, ', 'por excusarse a la saña', 'de mi condición, me hizo', 'un bruto, una fiera humana;', 'de suerte que, cuando yo', 'por mi nobleza gallarda, ', 'por mi sangre generosa,', 'por mi condición bizarra,', 'hubiera nacido dócil', 'y humilde, sólo bastara', 'tal género de vivir, ', 'tal linaje de crianza,', 'a hacer fieras mis costumbres.', '¡Qué buen modo de estorbarlas!', 'Si a cualquier hombre dijesen:', '«Alguna fiera inhumana ', 'te dará muerte», ¿escogiera', 'buen remedio en despertalla', 'cuando estuviese durmiendo?', 'Si dijeran: «Esta espada', 'que traes ceñida ha de ser ', 'quien te dé la muerte», vana', 'diligencia de evitarlo', 'fuera entonces desnudarla', 'y ponérsela a los pechos.', 'Si dijesen: «Golfos de agua ', 'han de ser tu sepultura', 'en monumentos de plata»,', 'mal hiciera en darse al mar,', 'cuando soberbio levanta', 'rizados montes de nieve, ', 'de cristal crespas montañas.', 'Lo mismo le ha sucedido', 'que a quien, porque le amenaza', 'una fiera, la despierta;', 'que a quien, temiendo una espada ', 'la desnuda; y que a quien mueve', 'las ondas de una borrasca;', 'y cuando fuera (escuchadme)', 'dormida fiera mi saña,', 'templada espada mi furia, ', 'mi rigor quieta bonanza,', 'la fortuna no se vence', 'con injusticia y venganza,', 'porque antes se incita más.', 'Y así, quien vencer aguarda ', 'a su fortuna, ha de ser', 'con prudencia y con templanza.', 'No antes de venir el daño', 'se reserva ni se guarda', 'quien le previene; que aunque ', 'puede humilde (cosa es clara)', 'reservarse dél, no es', 'sino después que se halla', 'en la ocasión, porque aquesta', 'no hay camino de estorbarla. ', 'Sirva de ejemplo este raro', 'espectáculo, esta extraña', 'admiración, este horror,', 'este prodigio; pues nada', 'es más que llegar a ver, ', 'con prevenciones tan varias,', 'rendido a mis pies a un padre,', 'y atropellado a un monarca.', 'Sentencia del cielo fue;', 'por más que quiso estorbarla ', 'él no pudo, ¿y podré yo', 'que soy menor en las canas,', 'en el valor y en la ciencia', 'vencerla? Señor, levanta,', 'dame tu mano; que ya ', 'que el cielo te desengaña', 'de que has errado en el modo', 'de vencerle, humilde aguarda', 'mi cuello a que tú te vengues;', 'rendido estoy a tus plantas. ']",90
BASILIO,"Hijo, que tan noble acción
otra vez en mis entrañas
te engendra, príncipe eres.
A ti el laurel y la palma
se te deben. Tú venciste; 
corónente tus hazañas.","['Hijo, que tan noble acción', 'otra vez en mis entrañas', 'te engendra, príncipe eres.', 'A ti el laurel y la palma', 'se te deben. Tú venciste; ', 'corónente tus hazañas.']",6
TODOS,"¡Viva Segismundo, viva!","['¡Viva Segismundo, viva!']",1
SEGISMUNDO,"Pues que ya vencer aguarda
mi valor grandes vitorias,
hoy ha de ser la más alta 
vencerme a mí. Astolfo dé
la mano luego a Rosaura,
pues sabe que de su honor
es deuda y yo he de cobrarla.","['Pues que ya vencer aguarda', 'mi valor grandes vitorias,', 'hoy ha de ser la más alta ', 'vencerme a mí. Astolfo dé', 'la mano luego a Rosaura,', 'pues sabe que de su honor', 'es deuda y yo he de cobrarla.']",7
ASTOLFO,"Aunque es verdad que la debo 
obligaciones, repara
que ella no sabe quién es;
y es bajeza y es infamia
casarme yo con mujer...","['Aunque es verdad que la debo ', 'obligaciones, repara', 'que ella no sabe quién es;', 'y es bajeza y es infamia', 'casarme yo con mujer...']",5
CLOTALDO,"No prosigas, tente, aguarda; 

porque Rosaura es tan noble
como tú, Astolfo, y mi espada
lo defenderá en el campo;
que es mi hija, y esto basta.","['No prosigas, tente, aguarda; ', 'porque Rosaura es tan noble', 'como tú, Astolfo, y mi espada', 'lo defenderá en el campo;', 'que es mi hija, y esto basta.']",5
ASTOLFO,¿Qué dices?,['¿Qué dices?'],1
CLOTALDO,"Que yo hasta verla

casada, noble y honrada,
no la quise descubrir.
La historia desto es muy larga;
pero, en fin, es hija mía.","['Que yo hasta verla', 'casada, noble y honrada,', 'no la quise descubrir.', 'La historia desto es muy larga;', 'pero, en fin, es hija mía.']",5
ASTOLFO,"Pues siendo así, mi palabra 
cumpliré.","['Pues siendo así, mi palabra ', 'cumpliré.']",2
SEGISMUNDO,"Pues, porq[ue] Estrella
no quede desconsolada,
viendo que príncipe pierde
de tanto valor y fama,
de mi propia mano yo 
con esposo he de casarla
que en méritos y fortuna
si no le excede, le iguala.
Dame la mano.","['Pues, porq[ue] Estrella', 'no quede desconsolada,', 'viendo que príncipe pierde', 'de tanto valor y fama,', 'de mi propia mano yo ', 'con esposo he de casarla', 'que en méritos y fortuna', 'si no le excede, le iguala.', 'Dame la mano.']",9
ESTRELLA,"Yo gano
en merecer dicha tanta. ","['Yo gano', 'en merecer dicha tanta. ']",2
SEGISMUNDO,"A Clotaldo, que leal
sirvió a mi padre, le aguardan
mis brazos, con las mercedes
que él pidiere que le haga.","['A Clotaldo, que leal', 'sirvió a mi padre, le aguardan', 'mis brazos, con las mercedes', 'que él pidiere que le haga.']",4
[SOLDADO] 1.º,"Si así a quien no te ha servido 
honras, ¿a mí, que fui causa
del alboroto del reino,
y de la torre en que estabas
te saqué, qué me darás?","['Si así a quien no te ha servido ', 'honras, ¿a mí, que fui causa', 'del alboroto del reino,', 'y de la torre en que estabas', 'te saqué, qué me darás?']",5
SEGISMUNDO,"La torre; y porque no salgas 
della nunca hasta morir,
has de estar allí con guardas;
que el traidor no es menester
siendo la traición pasada.","['La torre; y porque no salgas ', 'della nunca hasta morir,', 'has de estar allí con guardas;', 'que el traidor no es menester', 'siendo la traición pasada.']",5
BASILIO,Tu ingenio a todos admira. ,['Tu ingenio a todos admira. '],1
ASTOLFO,¡Qué condición tan mudada!,['¡Qué condición tan mudada!'],1
ROSAURA,¡Qué discreto y qué prudente!,['¡Qué discreto y qué prudente!'],1
SEGISMUNDO,"¿Qué os admira? ¿Qué os espanta,
si fue mi maestro un sueño,
y estoy temiendo en mis ansias 
que he de despertar y hallarme
otra vez en mi cerrada
prisión? Y cuando no sea,
el soñarlo sólo basta;
pues así llegué a saber 
que toda la dicha humana,
en fin, pasa como sueño.
Y quiero hoy aprovecharla
el tiempo que me durare,
pidiendo de nuestras faltas 
perdón, pues de pechos nobles
es tan propio el perdonarlas.","['¿Qué os admira? ¿Qué os espanta,', 'si fue mi maestro un sueño,', 'y estoy temiendo en mis ansias ', 'que he de despertar y hallarme', 'otra vez en mi cerrada', 'prisión? Y cuando no sea,', 'el soñarlo sólo basta;', 'pues así llegué a saber ', 'que toda la dicha humana,', 'en fin, pasa como sueño.', 'Y quiero hoy aprovecharla', 'el tiempo que me durare,', 'pidiendo de nuestras faltas ', 'perdón, pues de pechos nobles', 'es tan propio el perdonarlas.']",15
