n_interven,personaje,texto,jornada,versos,n_versos
144,ESTRELLA,"No dudo que esas finezas 
son verdades evidentes;
mas serán por otra dama,
cuyo retrato pendiente
trujistes al cuello cuando
llegastis, Astolfo, a verme; 
y siendo así, esos requiebros
ella sola los merece.
Acudid a que ella os pague;

que no son buenos papeles
en el consejo de amor 
las finezas ni las fees
que se hicieron en servicio
de otras damas y otros reyes.",2,"['No dudo que esas finezas ', 'son verdades evidentes;', 'mas serán por otra dama,', 'cuyo retrato pendiente', 'trujistes al cuello cuando', 'llegastis, Astolfo, a verme; ', 'y siendo así, esos requiebros', 'ella sola los merece.', 'Acudid a que ella os pague;', 'que no son buenos papeles', 'en el consejo de amor ', 'las finezas ni las fees', 'que se hicieron en servicio', 'de otras damas y otros reyes.']",14
145,ROSAURA," (Aparte.)  
¡Gracias a Dios q[ue] han llegado
ya mis desdichas crüeles 
al término suyo, pues
quien esto ve nada teme!",2,"[' (Aparte.)  ', '¡Gracias a Dios q[ue] han llegado', 'ya mis desdichas crüeles ', 'al término suyo, pues', 'quien esto ve nada teme!']",5
146,ASTOLFO,"Yo haré que el retrato salga
del pecho, para que entre
la imagen de tu hermosura. 
Donde entra Estrella no tiene
lugar la sombra, ni estrella
donde el sol; voy a traerle.
  (Aparte.)  
Perdona, Rosaura hermosa,
este agravio, porque ausentes, 
no se guardan más fe que ésta
los hombres y las mujeres.
 (Vase.) ",2,"['Yo haré que el retrato salga', 'del pecho, para que entre', 'la imagen de tu hermosura. ', 'Donde entra Estrella no tiene', 'lugar la sombra, ni estrella', 'donde el sol; voy a traerle.', '  (Aparte.)  ', 'Perdona, Rosaura hermosa,', 'este agravio, porque ausentes, ', 'no se guardan más fe que ésta', 'los hombres y las mujeres.', ' (Vase.) ']",12
147,ROSAURA," (Aparte.)  
Nada he podido escuchar,
temerosa que me viese.",2,"[' (Aparte.)  ', 'Nada he podido escuchar,', 'temerosa que me viese.']",3
148,ESTRELLA,Astrea.,2,['Astrea.'],1
149,ROSAURA,"Señora mía.
",2,['Señora mía.'],1
150,ESTRELLA,"Heme holgado que tú fueses
la que llegaste hasta aquí;
porque de ti solamente
fiara un secreto.",2,"['Heme holgado que tú fueses', 'la que llegaste hasta aquí;', 'porque de ti solamente', 'fiara un secreto.']",4
151,ROSAURA,"Honras,
señora, a quien te obedece. ",2,"['Honras,', 'señora, a quien te obedece. ']",2
152,ESTRELLA,"En el poco tiempo, Astrea,
que ha que te conozco, tienes
de mi voluntad las llaves;
por esto, y por ser quien eres,
me atrevo a fiar de ti 
lo que aun de mí muchas veces
recaté.",2,"['En el poco tiempo, Astrea,', 'que ha que te conozco, tienes', 'de mi voluntad las llaves;', 'por esto, y por ser quien eres,', 'me atrevo a fiar de ti ', 'lo que aun de mí muchas veces', 'recaté.']",7
153,ROSAURA,Tu esclava soy.,2,['Tu esclava soy.'],1
154,ESTRELLA,"Pues, para decirlo en breve,
mi primo Astolfo (bastara
que mi primo te dijese, 
porque hay cosas que se dicen
con pensarlas solamente)
ha de casarse conmigo,
si es que la fortuna quiere
que con una dicha sola 
tantas desdichas descuente.
Pesóme que el primer día
echado al cuello trujese
el retrato de una dama.
Habléle en él cortésmente; 
es galán y quiere bien;
fue por él, y ha de traerle
aquí. Embarázame mucho
que él a mí a dármele llegue.
Quédate aquí y cuando venga 

le dirás que te le entregue
a ti. No te digo más.
Discreta y hermosa eres;
bien sabrás lo que es amor.
 (Vase.) ",2,"['Pues, para decirlo en breve,', 'mi primo Astolfo (bastara', 'que mi primo te dijese, ', 'porque hay cosas que se dicen', 'con pensarlas solamente)', 'ha de casarse conmigo,', 'si es que la fortuna quiere', 'que con una dicha sola ', 'tantas desdichas descuente.', 'Pesóme que el primer día', 'echado al cuello trujese', 'el retrato de una dama.', 'Habléle en él cortésmente; ', 'es galán y quiere bien;', 'fue por él, y ha de traerle', 'aquí. Embarázame mucho', 'que él a mí a dármele llegue.', 'Quédate aquí y cuando venga ', 'le dirás que te le entregue', 'a ti. No te digo más.', 'Discreta y hermosa eres;', 'bien sabrás lo que es amor.', ' (Vase.) ']",23
155,ROSAURA,"¡Ojalá no lo supiese! 
¡Válgame el cielo! ¿Quién fuera
tan atenta y tan prudente
que supiera aconsejarse
hoy en ocasión tan fuerte?
¿Habrá persona en el mundo 
a quien el cielo inclemente
con más desdichas combata
y con más pesares cerque?
¿Qué haré en tantas confusiones,
donde imposible parece 
que halle razón que me alivie,
ni alivio que me consuele?
Desde la primer desdicha
no hay suceso ni accidente
que otra desdicha no sea; 
que unas a otras suceden,
herederas de sí mismas.
A la imitación del fénix,
unas de las otras nacen,
viviendo de lo que mueren; 
y siempre de sus cenizas
está el sepulcro caliente.
Que eran cobardes, decía
un sabio, por parecerle
que nunca andaba una sola; 

yo digo que son valientes,
pues siempre van adelante,
y nunca la espalda vuelven.
Quien las llevase consigo,
a todo podrá atreverse, 
pues en ninguna ocasión
no haya miedo que le dejen.
Dígalo yo, pues en tantas
como a mi vida suceden,
nunca me he hallado sin ellas, 
ni se han cansado hasta verme,
herida de la fortuna
en los brazos de la muerte.
¡Ay de mí! ¿Qué debo hacer
hoy en la ocasión presente? 
Si digo quién soy, Clotaldo,
a quien mi vida le debe
este amparo y este honor,
conmigo ofenderse puede;
pues me dice que callando 
honor y remedio espere.
Si no he de decir quién soy
a Astolfo, y él llega a verme,
¿cómo he de disimular?
Pues aunque fingirlo intenten 
la voz, la lengua y los ojos,
les dirá el alma que mienten.
¿Qué haré? ¿Mas para qué estudio
lo que haré, si es evidente
que por más que lo prevenga, 
que lo estudie y que lo piense,
en llegando la ocasión
ha de hacer lo que quisiere
el dolor? Porque ninguno
imperio en sus penas tiene. 
Y pues a determinar
lo que ha de hacer no se atreve
el alma, llegue el dolor

hoy a su término, llegue
la pena a su extremo y salga 
de dudas y pareceres
de una vez; pero hasta entonces
¡valedme, cielos, valedme!",2,"['¡Ojalá no lo supiese! ', '¡Válgame el cielo! ¿Quién fuera', 'tan atenta y tan prudente', 'que supiera aconsejarse', 'hoy en ocasión tan fuerte?', '¿Habrá persona en el mundo ', 'a quien el cielo inclemente', 'con más desdichas combata', 'y con más pesares cerque?', '¿Qué haré en tantas confusiones,', 'donde imposible parece ', 'que halle razón que me alivie,', 'ni alivio que me consuele?', 'Desde la primer desdicha', 'no hay suceso ni accidente', 'que otra desdicha no sea; ', 'que unas a otras suceden,', 'herederas de sí mismas.', 'A la imitación del fénix,', 'unas de las otras nacen,', 'viviendo de lo que mueren; ', 'y siempre de sus cenizas', 'está el sepulcro caliente.', 'Que eran cobardes, decía', 'un sabio, por parecerle', 'que nunca andaba una sola; ', 'yo digo que son valientes,', 'pues siempre van adelante,', 'y nunca la espalda vuelven.', 'Quien las llevase consigo,', 'a todo podrá atreverse, ', 'pues en ninguna ocasión', 'no haya miedo que le dejen.', 'Dígalo yo, pues en tantas', 'como a mi vida suceden,', 'nunca me he hallado sin ellas, ', 'ni se han cansado hasta verme,', 'herida de la fortuna', 'en los brazos de la muerte.', '¡Ay de mí! ¿Qué debo hacer', 'hoy en la ocasión presente? ', 'Si digo quién soy, Clotaldo,', 'a quien mi vida le debe', 'este amparo y este honor,', 'conmigo ofenderse puede;', 'pues me dice que callando ', 'honor y remedio espere.', 'Si no he de decir quién soy', 'a Astolfo, y él llega a verme,', '¿cómo he de disimular?', 'Pues aunque fingirlo intenten ', 'la voz, la lengua y los ojos,', 'les dirá el alma que mienten.', '¿Qué haré? ¿Mas para qué estudio', 'lo que haré, si es evidente', 'que por más que lo prevenga, ', 'que lo estudie y que lo piense,', 'en llegando la ocasión', 'ha de hacer lo que quisiere', 'el dolor? Porque ninguno', 'imperio en sus penas tiene. ', 'Y pues a determinar', 'lo que ha de hacer no se atreve', 'el alma, llegue el dolor', 'hoy a su término, llegue', 'la pena a su extremo y salga ', 'de dudas y pareceres', 'de una vez; pero hasta entonces', '¡valedme, cielos, valedme!']",69
156,ASTOLFO,"Éste es, señora, el retrato;
mas ¡ay Dios!",2,"['Éste es, señora, el retrato;', 'mas ¡ay Dios!']",2
157,ROSAURA,"¿Qué se suspende

Vuestra Alteza? ¿Qué se admira?",2,"['¿Qué se suspende', 'Vuestra Alteza? ¿Qué se admira?']",2
158,ASTOLFO,"De oírte, Rosaura, y verte.",2,"['De oírte, Rosaura, y verte.']",1
159,ROSAURA,"¿Yo Rosaura? Hase engañado
Vuestra Alteza, si me tiene
por otra dama; que yo 
soy Astrea, y no merece
mi humildad tan grande dicha
que esa turbación le cueste.",2,"['¿Yo Rosaura? Hase engañado', 'Vuestra Alteza, si me tiene', 'por otra dama; que yo ', 'soy Astrea, y no merece', 'mi humildad tan grande dicha', 'que esa turbación le cueste.']",6
160,ASTOLFO,"Basta, Rosaura, el engaño,
porque el alma nunca miente; 
y aunque como a Astrea te mire,
como a Rosaura te quiere.",2,"['Basta, Rosaura, el engaño,', 'porque el alma nunca miente; ', 'y aunque como a Astrea te mire,', 'como a Rosaura te quiere.']",4
161,ROSAURA,"No he entendido a V[uest]ra Alteza,
y así no sé responderle.
Sólo lo que yo diré 
es que Estrella (que lo puede
ser de Venus) me mandó
que en esta parte le espere,
y de la suya le diga

que aquel retrato me entregue, 
que está muy puesto en razón,
y yo misma se lo lleve.
Estrella lo quiere así,
porque aun las cosas más leves,
como sean en mi daño, 
es Estrella quien las quiere.",2,"['No he entendido a V[uest]ra Alteza,', 'y así no sé responderle.', 'Sólo lo que yo diré ', 'es que Estrella (que lo puede', 'ser de Venus) me mandó', 'que en esta parte le espere,', 'y de la suya le diga', 'que aquel retrato me entregue, ', 'que está muy puesto en razón,', 'y yo misma se lo lleve.', 'Estrella lo quiere así,', 'porque aun las cosas más leves,', 'como sean en mi daño, ', 'es Estrella quien las quiere.']",14
162,ASTOLFO,"Aunque más esfuerzos hagas,
¡oh qué mal, Rosaura, puedes
disimular! Di a los ojos
que su música concierten 
con la voz; porque es forzoso
que desdiga y que disuene
tan destemplado instrumento,
que ajustar y medir quiere
la falsedad de quien dice 
con la verdad de quien siente.",2,"['Aunque más esfuerzos hagas,', '¡oh qué mal, Rosaura, puedes', 'disimular! Di a los ojos', 'que su música concierten ', 'con la voz; porque es forzoso', 'que desdiga y que disuene', 'tan destemplado instrumento,', 'que ajustar y medir quiere', 'la falsedad de quien dice ', 'con la verdad de quien siente.']",10
163,ROSAURA,"Ya digo que sólo espero
el retrato.",2,"['Ya digo que sólo espero', 'el retrato.']",2
164,ASTOLFO,"Pues que quieres
llevar al fin el engaño,
con él quiero responderte. 
Dirásle, Astrea, a la Infanta
que yo la estimo de suerte
que, pidiéndome un retrato,
poca fineza parece
enviársele; y así, 
porque le estime y le precie,
le envío el original:
y tú llevársele puedes,
pues ya le llevas contigo,
como a ti misma te lleves. ",2,"['Pues que quieres', 'llevar al fin el engaño,', 'con él quiero responderte. ', 'Dirásle, Astrea, a la Infanta', 'que yo la estimo de suerte', 'que, pidiéndome un retrato,', 'poca fineza parece', 'enviársele; y así, ', 'porque le estime y le precie,', 'le envío el original:', 'y tú llevársele puedes,', 'pues ya le llevas contigo,', 'como a ti misma te lleves. ']",13
165,ROSAURA,"Cuando un hombre se dispone,
restado, altivo y valiente
a salir con una empresa
aunque por trato le entreguen
lo que valga más, sin ella 
necio y desairado vuelve.

Yo vengo por un retrato,
y aunque un original lleve
que vale más, volveré
desairada; y así, déme 
Vuestra Alteza ese retrato,
que sin él no he de volverme.",2,"['Cuando un hombre se dispone,', 'restado, altivo y valiente', 'a salir con una empresa', 'aunque por trato le entreguen', 'lo que valga más, sin ella ', 'necio y desairado vuelve.', 'Yo vengo por un retrato,', 'y aunque un original lleve', 'que vale más, volveré', 'desairada; y así, déme ', 'Vuestra Alteza ese retrato,', 'que sin él no he de volverme.']",12
166,ASTOLFO,"Pues ¿cómo, si no he de darle,
le has de llevar?",2,"['Pues ¿cómo, si no he de darle,', 'le has de llevar?']",2
167,ROSAURA,"Desta suerte.
Suéltale, ingrato.",2,"['Desta suerte.', 'Suéltale, ingrato.']",2
168,ASTOLFO,"Es en vano.
",2,['Es en vano.'],1
169,ROSAURA,"¡Vive Dios! que no ha de verse
en manos de otra mujer.",2,"['¡Vive Dios! que no ha de verse', 'en manos de otra mujer.']",2
170,ASTOLFO,Terrible estás.,2,['Terrible estás.'],1
171,ROSAURA,Y tú aleve.,2,['Y tú aleve.'],1
172,ASTOLFO,"Ya basta, Rosaura mía.",2,"['Ya basta, Rosaura mía.']",1
173,ROSAURA,"¿Yo tuya, villano? Mientes. ",2,"['¿Yo tuya, villano? Mientes. ']",1
174,ESTRELLA,"Astrea, Astolfo, ¿qué es esto?",2,"['Astrea, Astolfo, ¿qué es esto?']",1
175,ASTOLFO,Aquésta es Estrella.,2,['Aquésta es Estrella.'],1
176,ROSAURA," (Aparte. 
Déme,
para cobrar mi retrato,
ingenio el amor.) Si quieres
saber lo que es, yo, señora, 
te lo diré.",2,"[' (Aparte. ', 'Déme,', 'para cobrar mi retrato,', 'ingenio el amor.) Si quieres', 'saber lo que es, yo, señora, ', 'te lo diré.']",6
177,ASTOLFO,¿Qué pretendes?,2,['¿Qué pretendes?'],1
178,ROSAURA,"Mandásteme que esperase
aquí a Astolfo, y le pidiese
un retrato de tu parte.
Quedé sola, y como vienen 
de unos discursos a otros

las noticias fácilmente,
viéndote hablar de retratos,
con su memoria acordéme
de que tenía uno mío 
en la manga. Quise verle,
porque una persona sola
con locuras se divierte.
Cayóseme de la mano
al suelo. Astolfo, que viene 
a entregarte el de otra dama,
le levantó, y tan rebelde
está en dar el que le pides
que, en vez de dar uno, quiere
llevar otro. Pues el mío 
aun no es posible volverme
con ruegos y persuasiones,
colérica y impaciente
yo se le quise quitar.
Aquel que en la mano tiene 
es mío; tú lo verás
con ver si se me parece.",2,"['Mandásteme que esperase', 'aquí a Astolfo, y le pidiese', 'un retrato de tu parte.', 'Quedé sola, y como vienen ', 'de unos discursos a otros', 'las noticias fácilmente,', 'viéndote hablar de retratos,', 'con su memoria acordéme', 'de que tenía uno mío ', 'en la manga. Quise verle,', 'porque una persona sola', 'con locuras se divierte.', 'Cayóseme de la mano', 'al suelo. Astolfo, que viene ', 'a entregarte el de otra dama,', 'le levantó, y tan rebelde', 'está en dar el que le pides', 'que, en vez de dar uno, quiere', 'llevar otro. Pues el mío ', 'aun no es posible volverme', 'con ruegos y persuasiones,', 'colérica y impaciente', 'yo se le quise quitar.', 'Aquel que en la mano tiene ', 'es mío; tú lo verás', 'con ver si se me parece.']",26
179,ESTRELLA,"Soltad, Astolfo, el retrato.
 (Quítasele.) ",2,"['Soltad, Astolfo, el retrato.', ' (Quítasele.) ']",2
180,ASTOLFO,Señora...,2,['Señora...'],1
181,ESTRELLA,"No son crüeles
a la verdad los matices. ",2,"['No son crüeles', 'a la verdad los matices. ']",2
182,ROSAURA,¿No es mío?,2,['¿No es mío?'],1
183,ESTRELLA,¿Qué duda tiene?,2,['¿Qué duda tiene?'],1
184,ROSAURA,Di q[ue] ahora te entregue el otro.,2,['Di q[ue] ahora te entregue el otro.'],1
185,ESTRELLA,"Toma tu retrato, y vete.",2,"['Toma tu retrato, y vete.']",1
186,ROSAURA," (Aparte.)  
Yo he cobrado mi retrato
venga ahora lo que viniere. 
 (Vase.) ",2,"[' (Aparte.)  ', 'Yo he cobrado mi retrato', 'venga ahora lo que viniere. ', ' (Vase.) ']",4
187,ESTRELLA,"    Dadme ahora el retrato vos
que os pedí: que au[n]que no piense
veros ni hablaros jamás,
no quiero, no, que se quede
en vuestro poder, siquiera 
porque yo tan neciamente
lo he pedido.",2,"['    Dadme ahora el retrato vos', 'que os pedí: que au[n]que no piense', 'veros ni hablaros jamás,', 'no quiero, no, que se quede', 'en vuestro poder, siquiera ', 'porque yo tan neciamente', 'lo he pedido.']",7
188,ASTOLFO," (Aparte. 
¿Cómo puedo
salir de lance tan fuerte?)
Aunque quiera, hermosa Estrella
servirte y obedecerte, 
no podré darte el retrato
que me pides, porque...",2,"[' (Aparte. ', '¿Cómo puedo', 'salir de lance tan fuerte?)', 'Aunque quiera, hermosa Estrella', 'servirte y obedecerte, ', 'no podré darte el retrato', 'que me pides, porque...']",7
189,ESTRELLA,"Eres
    villano y grosero amante.
No quiero que me le entregues;
porque yo tampoco quiero, 
de que yo te le he pedido,
con tomarle, que me acuerdes.
 (Vase.) ",2,"['Eres', '    villano y grosero amante.', 'No quiero que me le entregues;', 'porque yo tampoco quiero, ', 'de que yo te le he pedido,', 'con tomarle, que me acuerdes.', ' (Vase.) ']",7
190,ASTOLFO,"¡Oye, escucha, mira, advierte!
¡Válgate Dios por Rosaura!
¿Dónde, cómo o de qué suerte 
hoy a Polonia has venido
a perderme y a perderte?
 (Vase.)  ",2,"['¡Oye, escucha, mira, advierte!', '¡Válgate Dios por Rosaura!', '¿Dónde, cómo o de qué suerte ', 'hoy a Polonia has venido', 'a perderme y a perderte?', ' (Vase.)  ']",6
191,CLOTALDO,"    Aquí le habéis de dejar,
pues hoy su soberbia acaba
donde empezó.",2,"['    Aquí le habéis de dejar,', 'pues hoy su soberbia acaba', 'donde empezó.']",3
192,[CRIADO] 1.º,"Como estaba,

la cadena vuelvo a atar.",2,"['Como estaba,', 'la cadena vuelvo a atar.']",2
193,CLARÍN,"No acabes de despertar,
Segismundo, para verte
perder, trocada la suerte,
siendo tu gloria fingida 
una sombra de la vida
y una llama de la muerte.",2,"['No acabes de despertar,', 'Segismundo, para verte', 'perder, trocada la suerte,', 'siendo tu gloria fingida ', 'una sombra de la vida', 'y una llama de la muerte.']",6
194,CLOTALDO,"    A quien sabe discurrir
así, es bien que se prevenga
una estancia donde tenga 
harto lugar de argüir.
Éste es el que habéis de asir
y en ese cuarto encerrar.",2,"['    A quien sabe discurrir', 'así, es bien que se prevenga', 'una estancia donde tenga ', 'harto lugar de argüir.', 'Éste es el que habéis de asir', 'y en ese cuarto encerrar.']",6
195,CLARÍN,¿Por qué a mí?,2,['¿Por qué a mí?'],1
196,CLOTALDO,"Porque ha de estar
guardado en prisión tan grave 
Clarín que secretos sabe,
donde no pueda sonar.",2,"['Porque ha de estar', 'guardado en prisión tan grave ', 'Clarín que secretos sabe,', 'donde no pueda sonar.']",4
197,CLARÍN,"    ¿Yo, por dicha, solicito
dar muerte a mi padre? No.
¿Arrojé del balcón yo 
al Ícaro de poquito?
¿Yo muero ni resucito?
¿Yo sueño o duermo? ¿A qué fin
me encierran?",2,"['    ¿Yo, por dicha, solicito', 'dar muerte a mi padre? No.', '¿Arrojé del balcón yo ', 'al Ícaro de poquito?', '¿Yo muero ni resucito?', '¿Yo sueño o duermo? ¿A qué fin', 'me encierran?']",7
198,CLOTALDO,Eres Clarín.,2,['Eres Clarín.'],1
199,CLARÍN,"Pues ya digo que seré 

corneta, y que callaré,
que es instrumento rüin.",2,"['Pues ya digo que seré ', 'corneta, y que callaré,', 'que es instrumento rüin.']",3
200,BASILIO,    ¿Clotaldo?,2,['    ¿Clotaldo?'],1
201,CLOTALDO,"Señor, ¿así
viene Vuestra Majestad?",2,"['Señor, ¿así', 'viene Vuestra Majestad?']",2
202,BASILIO,"La necia curiosidad 
de ver lo que pasa aquí
a Segismundo, ¡ay de mí!,
deste modo me ha traído.",2,"['La necia curiosidad ', 'de ver lo que pasa aquí', 'a Segismundo, ¡ay de mí!,', 'deste modo me ha traído.']",4
203,CLOTALDO,"Mírale allí reducido
a su miserable estado. ",2,"['Mírale allí reducido', 'a su miserable estado. ']",2
204,BASILIO,"¡Ay, príncipe desdichado,
y en triste punto nacido!
    Llega a despertarle, ya
que fuerza y vigor perdió
esos lotos que bebió. ",2,"['¡Ay, príncipe desdichado,', 'y en triste punto nacido!', '    Llega a despertarle, ya', 'que fuerza y vigor perdió', 'esos lotos que bebió. ']",5
205,CLOTALDO,"Inquieto, señor, está
y hablando.",2,"['Inquieto, señor, está', 'y hablando.']",2
206,BASILIO,"¿Qué soñará
agora? Escuchemos pues.",2,"['¿Qué soñará', 'agora? Escuchemos pues.']",2
207,SEGISMUNDO," (En sueños.)  
Piadoso príncipe es
el que castiga tiranos. 
Muera Clotaldo a mis manos,
bese mi padre mis pies.",2,"[' (En sueños.)  ', 'Piadoso príncipe es', 'el que castiga tiranos. ', 'Muera Clotaldo a mis manos,', 'bese mi padre mis pies.']",5
208,CLOTALDO,    Con la muerte me amenaza.,2,['    Con la muerte me amenaza.'],1
209,BASILIO,A mí con rigor y afrenta.,2,['A mí con rigor y afrenta.'],1
210,CLOTALDO,Quitarme la vida intenta. ,2,['Quitarme la vida intenta. '],1
211,BASILIO,Rendirme a sus plantas traza.,2,['Rendirme a sus plantas traza.'],1
212,SEGISMUNDO," (En sueños.)  
Salga a la anchurosa plaza
del gran teatro del mundo
este valor sin segundo:
porque mi venganza cuadre, 
vean triunfar de su padre
al príncipe Segismundo.
  (Despierta.)  
    Mas ¡ay de mí!, ¿dónde estoy?",2,"[' (En sueños.)  ', 'Salga a la anchurosa plaza', 'del gran teatro del mundo', 'este valor sin segundo:', 'porque mi venganza cuadre, ', 'vean triunfar de su padre', 'al príncipe Segismundo.', '  (Despierta.)  ', '    Mas ¡ay de mí!, ¿dónde estoy?']",9
213,BASILIO," (A CLOTALDO.)  
Pues a mí no me ha de ver.
Ya sabes lo que has de hacer. 
  (Aparte.)  
Desde allí a escucharte voy.
 (Retírase.) ",2,"[' (A CLOTALDO.)  ', 'Pues a mí no me ha de ver.', 'Ya sabes lo que has de hacer. ', '  (Aparte.)  ', 'Desde allí a escucharte voy.', ' (Retírase.) ']",6
214,SEGISMUNDO,"¿Soy yo por ventura? ¿Soy
el que preso y aherrojado
llego a verme en tal estado?
¿No sois mi sepulcro vos, 
torre? Sí. ¡Válgame Dios,
qué de cosas he soñado!",2,"['¿Soy yo por ventura? ¿Soy', 'el que preso y aherrojado', 'llego a verme en tal estado?', '¿No sois mi sepulcro vos, ', 'torre? Sí. ¡Válgame Dios,', 'qué de cosas he soñado!']",6
215,CLOTALDO," (Aparte.)  
    A mí me toca llegar
a hacer la deshecha ahora.
¿Es ya de despertar hora? ",2,"[' (Aparte.)  ', '    A mí me toca llegar', 'a hacer la deshecha ahora.', '¿Es ya de despertar hora? ']",4
216,SEGISMUNDO,"Sí, hora es ya de despertar.",2,"['Sí, hora es ya de despertar.']",1
217,CLOTALDO,"¿Todo el día te has de estar
durmiendo? ¿Desde que yo

al águila que voló
con tarda vista seguí, 
y te quedaste tú aquí,
nunca has despertado?",2,"['¿Todo el día te has de estar', 'durmiendo? ¿Desde que yo', 'al águila que voló', 'con tarda vista seguí, ', 'y te quedaste tú aquí,', 'nunca has despertado?']",6
218,SEGISMUNDO,"No,
    ni aun agora he despertado;
que según, Clotaldo, entiendo,
todavía estoy durmiendo, 
y no estoy muy engañado.
Porque si ha sido soñado
lo que vi palpable y cierto,
lo que veo será incierto;
y no es mucho que rendido, 
pues veo estando dormido
que sueñe estando despierto.",2,"['No,', '    ni aun agora he despertado;', 'que según, Clotaldo, entiendo,', 'todavía estoy durmiendo, ', 'y no estoy muy engañado.', 'Porque si ha sido soñado', 'lo que vi palpable y cierto,', 'lo que veo será incierto;', 'y no es mucho que rendido, ', 'pues veo estando dormido', 'que sueñe estando despierto.']",11
219,CLOTALDO,    Lo que soñaste me di.,2,['    Lo que soñaste me di.'],1
220,SEGISMUNDO,"    Supuesto que sueño fue,
no diré lo que soñé; 
lo que vi, Clotaldo, sí.
Yo desperté, y yo me vi
(¡qué crueldad tan lisonjera!)
en un lecho que pudiera,
con matices y colores, 
ser el catre de las flores
que tejió la primavera.
    Aquí mil nobles rendidos
a mis pies nombre me dieron
de su príncipe, y sirvieron 
galas, joyas y vestidos.
La calma de mis sentidos
tú trocaste en alegría,
diciendo la dicha mía;
que, aunque estoy desta manera, 
príncipe en Polonia era.",2,"['    Supuesto que sueño fue,', 'no diré lo que soñé; ', 'lo que vi, Clotaldo, sí.', 'Yo desperté, y yo me vi', '(¡qué crueldad tan lisonjera!)', 'en un lecho que pudiera,', 'con matices y colores, ', 'ser el catre de las flores', 'que tejió la primavera.', '    Aquí mil nobles rendidos', 'a mis pies nombre me dieron', 'de su príncipe, y sirvieron ', 'galas, joyas y vestidos.', 'La calma de mis sentidos', 'tú trocaste en alegría,', 'diciendo la dicha mía;', 'que, aunque estoy desta manera, ', 'príncipe en Polonia era.']",18
221,CLOTALDO,Buenas albricias tendría.,2,['Buenas albricias tendría.'],1
222,SEGISMUNDO,"    No muy buenas; por traidor,
con pecho atrevido y fuerte,
dos veces te daba muerte. ",2,"['    No muy buenas; por traidor,', 'con pecho atrevido y fuerte,', 'dos veces te daba muerte. ']",3
223,CLOTALDO,¿Para mí tanto rigor?,2,['¿Para mí tanto rigor?'],1
224,SEGISMUNDO,"De todos era señor,
y de todos me vengaba.
Sólo a una mujer amaba
que fue verdad, creo yo, 
en que todo se acabó,
y esto solo no se acaba.",2,"['De todos era señor,', 'y de todos me vengaba.', 'Sólo a una mujer amaba', 'que fue verdad, creo yo, ', 'en que todo se acabó,', 'y esto solo no se acaba.']",6
225,CLOTALDO," (Aparte. 
   Enternecido se ha ido el Rey
de haberle escuchado.)
Como habíamos hablado 
de aquella águila, dormido,
tu sueño imperios han sido;
mas en sueños fuera bien
entonces honrar a quien
te crió en tantos empeños 
Segismundo; que aun en sueños
no se pierde el hacer bien.
 (Vase.) ",2,"[' (Aparte. ', '   Enternecido se ha ido el Rey', 'de haberle escuchado.)', 'Como habíamos hablado ', 'de aquella águila, dormido,', 'tu sueño imperios han sido;', 'mas en sueños fuera bien', 'entonces honrar a quien', 'te crió en tantos empeños ', 'Segismundo; que aun en sueños', 'no se pierde el hacer bien.', ' (Vase.) ']",12
